Date,Bitcoin Market Cap
2015-03-14,22.077596935573183
2015-03-15,22.07970947448987
2015-03-16,22.112157796883373
2015-03-17,22.103669292202024
2015-03-18,22.034813540073117
2015-03-19,21.985347919863756
2015-03-20,21.998904053897675
2015-03-21,21.998983015900308
2015-03-22,22.021560514771934
2015-03-23,22.03251814184854
2015-03-24,21.98523426064126
2015-03-25,21.948835370263996
2015-03-26,21.968293746572172
2015-03-27,21.95694589395089
2015-03-28,21.974004195014835
2015-03-29,21.94237125128692
2015-03-30,21.94399875392898
2015-03-31,21.945820025507636
2015-04-01,21.936942299030942
2015-04-02,21.958555782263836
2015-04-03,21.97587375027849
2015-04-04,21.972846997713162
2015-04-05,21.98495622829583
2015-04-06,21.989978225448915
2015-04-07,21.968274921343813
2015-04-08,21.955948224485773
2015-04-09,21.940012672816813
2015-04-10,21.915023565574483
2015-04-11,21.903823363252716
2015-04-12,21.9050225380247
2015-04-13,21.885198897784196
2015-04-14,21.839850813579496
2015-04-15,21.850470670240988
2015-04-16,21.873994301042583
2015-04-17,21.862993724708733
2015-04-18,21.856218592985947
2015-04-19,21.8645552728344
2015-04-20,21.861433315516525
2015-04-21,21.869282646731808
2015-04-22,21.91175678623703
2015-04-23,21.906798558130355
2015-04-24,21.89549342104204
2015-04-25,21.882584159018904
2015-04-26,21.8406832081427
2015-04-27,21.87276246815933
2015-04-28,21.888943352877455
2015-04-29,21.88733879769019
2015-04-30,21.919526497594525
2015-05-01,21.9267538688892
2015-05-02,21.92006569992771
2015-05-03,21.94526188611201
2015-05-04,21.942512911311848
2015-05-05,21.926981916521367
2015-05-06,21.92169743731954
2015-05-07,21.918797216790164
2015-05-08,21.947672482546356
2015-05-09,21.95193340898235
2015-05-10,21.95011940623817
2015-05-11,21.950623573562872
2015-05-12,21.95044176004419
2015-05-13,21.951775023708205
2015-05-14,21.931841698132367
2015-05-15,21.935155585800015
2015-05-16,21.9332154965347
2015-05-17,21.932773939304553
2015-05-18,21.927742199065836
2015-05-19,21.91841343161488
2015-05-20,21.920799332049842
2015-05-21,21.92836605939763
2015-05-22,21.935908710960618
2015-05-23,21.95177804144337
2015-05-24,21.953224197747982
2015-05-25,21.94586308507697
2015-05-26,21.942180481709073
2015-05-27,21.94459854224624
2015-05-28,21.943783508413894
2015-05-29,21.941019683099142
2015-05-30,21.930237971780237
2015-05-31,21.91983222566422
2015-06-01,21.90136691220979
2015-06-02,21.892739491622283
2015-06-03,21.898359404152114
2015-06-04,21.895219323633984
2015-06-05,21.891068470846694
2015-06-06,21.896116439416257
2015-06-07,21.89398606875723
2015-06-08,21.898441156073424
2015-06-09,21.910982538203925
2015-06-10,21.911266171726194
2015-06-11,21.913490408435973
2015-06-12,21.91899997607935
2015-06-13,21.918623919583037
2015-06-14,21.9304865756185
2015-06-15,21.940739973218054
2015-06-16,21.965442054459132
2015-06-17,21.997089095889745
2015-06-18,21.98810352401205
2015-06-19,21.97976478027458
2015-06-20,21.968569841549343
2015-06-21,21.973572682210474
2015-06-22,21.97951974786274
2015-06-23,21.976823030532945
2015-06-24,21.970051611268907
2015-06-25,21.971326287917545
2015-06-26,21.96746259284056
2015-06-27,21.980663283353884
2015-06-28,21.990136029550268
2015-06-29,22.00595776080482
2015-06-30,22.046137323963077
2015-07-01,22.029565009055403
2015-07-02,22.022358185452312
2015-07-03,22.014058703537483
2015-07-04,22.019773356854888
2015-07-05,22.048524400822586
2015-07-06,22.069821950195028
2015-07-07,22.050238612226504
2015-07-08,22.06069868030126
2015-07-09,22.06959456697053
2015-07-10,22.109850709613735
2015-07-11,22.14837301890821
2015-07-12,22.187188078389823
2015-07-13,22.13284966304679
2015-07-14,22.134064085044237
2015-07-15,22.133499168447027
2015-07-16,22.107659673462987
2015-07-17,22.094009292841378
2015-07-18,22.08421087061092
2015-07-19,22.071083296716424
2015-07-20,22.08381600252509
2015-07-21,22.096561175925437
2015-07-22,22.089286463226387
2015-07-23,22.091667607108782
2015-07-24,22.11675355994095
2015-07-25,22.133752678294258
2015-07-26,22.140048625596602
2015-07-27,22.13448316973174
2015-07-28,22.14279384367571
2015-07-29,22.13825462368665
2015-07-30,22.131247036865656
2015-07-31,22.118750342773957
2015-08-01,22.111148716702232
2015-08-02,22.11187975132145
2015-08-03,22.119679667337532
2015-08-04,22.120629483102217
2015-08-05,22.115106233341905
2015-08-06,22.107267348745125
2015-08-07,22.098404090213638
2015-08-08,22.072258060688927
2015-08-09,22.04636862565254
2015-08-10,22.048077119506292
2015-08-11,22.051479641977966
2015-08-12,22.05955858856821
2015-08-13,22.049450437342394
